,chirp_mass,q,m1,m2,Mf,f0,T0,td
0,10,0.1,40.576869388116265,4.057686938811627,,,,
1,10,0.2,27.24069927426661,5.448139854853323,,,,
2,10,0.30000000000000004,21.70280746582032,6.510842239746097,,,,
3,10,0.4,18.53487290297675,7.4139491611907005,,,,
4,10,0.5,16.437518295172257,8.218759147586129,,,,
5,10,0.6,14.925649756468102,8.955389853880861,,,,
6,10,0.7000000000000001,13.773076517966858,9.641153562576802,,,,
7,10,0.8,12.858801991887603,10.287041593510082,,,,
8,10,0.9,12.111703052865632,10.900532747579069,,,,
9,10,1.0,11.48698354997035,11.48698354997035,,,,
10,20,0.1,81.15373877623253,8.115373877623254,,,,
11,20,0.2,54.48139854853322,10.896279709706645,,,,
12,20,0.30000000000000004,43.40561493164064,13.021684479492194,,,,
13,20,0.4,37.0697458059535,14.827898322381401,,,,
14,20,0.5,32.875036590344514,16.437518295172257,,,,
15,20,0.6,29.851299512936205,17.910779707761723,,,,
16,20,0.7000000000000001,27.546153035933717,19.282307125153604,,,,
17,20,0.8,25.717603983775206,20.574083187020165,,,,
18,20,0.9,24.223406105731264,21.801065495158138,,,,
19,20,1.0,22.9739670999407,22.9739670999407,,,,
20,30,0.1,121.73060816434878,12.173060816434878,,,,
21,30,0.2,81.72209782279982,16.344419564559967,,,,
22,30,0.30000000000000004,65.10842239746097,19.532526719238295,,,,
23,30,0.4,55.60461870893025,22.2418474835721,,,,
24,30,0.5,49.312554885516775,24.656277442758388,,,,
25,30,0.6,44.776949269404305,26.866169561642582,,,,
26,30,0.7000000000000001,41.31922955390058,28.923460687730408,,,,
27,30,0.8,38.57640597566281,30.861124780530247,,,,
28,30,0.9,36.33510915859689,32.701598242737205,,,,
29,30,1.0,34.460950649911055,34.460950649911055,,,,
30,40,0.1,162.30747755246506,16.230747755246508,,,,
31,40,0.2,108.96279709706644,21.79255941941329,,,,
32,40,0.30000000000000004,86.81122986328128,26.043368958984388,,,,
33,40,0.4,74.139491611907,29.655796644762802,,,,
34,40,0.5,65.75007318068903,32.875036590344514,,,,
35,40,0.6,59.70259902587241,35.821559415523446,,,,
36,40,0.7000000000000001,55.092306071867434,38.56461425030721,,,,
37,40,0.8,51.43520796755041,41.14816637404033,,,,
38,40,0.9,48.44681221146253,43.602130990316276,,,,
39,40,1.0,45.9479341998814,45.9479341998814,,,,
40,50,0.1,202.8843469405813,20.288434694058132,,,,
41,50,0.2,136.20349637133305,27.24069927426661,,,,
42,50,0.30000000000000004,108.51403732910161,32.554211198730485,,,,
43,50,0.4,92.67436451488376,37.06974580595351,,,,
44,50,0.5,82.18759147586128,41.09379573793064,,,,
45,50,0.6,74.6282487823405,44.776949269404305,,,,
46,50,0.7000000000000001,68.86538258983428,48.205767812884005,,,,
47,50,0.8,64.29400995943801,51.43520796755041,,,,
48,50,0.9,60.558515264328165,54.50266373789535,,,,
49,50,1.0,57.434917749851756,57.434917749851756,,,,
50,60,0.1,243.46121632869756,24.346121632869757,,,,
51,60,0.2,163.44419564559965,32.688839129119934,,,,
52,60,0.30000000000000004,130.21684479492194,39.06505343847659,,,,
53,60,0.4,111.2092374178605,44.4836949671442,,,,
54,60,0.5,98.62510977103355,49.312554885516775,,,,
55,60,0.6,89.55389853880861,53.732339123285165,,,,
56,60,0.7000000000000001,82.63845910780115,57.846921375460816,,,,
57,60,0.8,77.15281195132562,61.722249561060494,,,,
58,60,0.9,72.67021831719379,65.40319648547441,,,,
59,60,1.0,68.92190129982211,68.92190129982211,,,,
